설치일,시설종류,인덱스,등록일,도로명주소,서비스유형,전화번호,위도,경도
2022-06-02,노인의료복지시설,3929,2025-01-07 17:53,"경기도 평택시 중앙1로 84, 2층 (비전동)",시설급여제공,031-654-3521,,
2021-12-10,노인의료복지시설,3930,2025-01-07 17:53,경기도 평택시 오성면 당거3길 16-2,시설급여제공,031-653-0157,,
2022-03-01,노인의료복지시설,3931,2025-01-07 17:53,"경기도 평택시 안중읍 안현로 429, 2,3층",시설급여제공,031-684-5944,,
2022-04-08,노인의료복지시설,3932,2025-01-07 17:53,경기도 평택시 목천로 72-19 (신장동),시설급여제공,031-667-9001,,
2019-08-07,노인의료복지시설,3933,2025-01-07 17:53,경기도 평택시 둥구재길 16 (이충동),시설급여제공,031-666-7090,,
2017-10-20,노인의료복지시설,3934,2025-01-07 17:53,경기도 평택시 잔다리2길 1-3 (세교동),시설급여제공,031-616-9345,,
2023-02-27,노인의료복지시설,3935,2025-01-07 17:53,경기도 평택시 목천로17번길 100 (신장동),시설급여제공,031-8029-9088,,
2019-12-09,노인의료복지시설,3936,2025-01-07 17:53,경기도 평택시 안중읍 금곡4길 42-3,시설급여제공,031-653-9931,36.9965668,126.9456853
2013-10-01,노인의료복지시설,3937,2025-01-07 17:53,경기도 평택시 안중읍 서동대로 1831-3,시설급여제공,031-682-9945,36.9965668,126.9510813
2023-09-01,노인의료복지시설,3938,2025-01-07 17:53,경기도 평택시 비전6로 22 (비전동),시설급여제공,031-618-1914,,
2018-01-05,노인의료복지시설,3939,2025-01-07 17:53,경기도 평택시 오성면 양교리 176번지 53호,시설급여제공,031-618-5647,,
2014-02-11,노인의료복지시설,3940,2025-01-07 17:53,경기도 평택시 팽성읍 팽성북로 130-8,시설급여제공,031-691-6222,36.9802487,127.0466016
2024-06-01,노인의료복지시설,3941,2025-01-07 17:53,경기도 평택시 안중읍 안현로서6길 48-3,시설급여제공,031-681-2662,36.9849797,126.9240278
2025-01-01,노인의료복지시설,3942,2025-01-07 17:53,경기도 평택시 안중읍 현화리 368번지,시설급여제공,031-681-8425,,
2019-06-01,재가장기요양기관,3943,2025-01-07 17:53,경기도 평택시 동령길 25 (이충동),주야간보호,031-663-8009,,
2014-07-16,재가장기요양기관,3944,2025-01-07 17:53,"경기도 평택시 평택5로20번길 34, 5층 (합정동)",주야간보호,070-8648-1280,,
2014-10-27,재가장기요양기관,3945,2025-01-07 17:53,"경기도 평택시 안중읍 안현로서8길 57, 217호",주야간보호,031-683-3479,,
2019-06-15,재가장기요양기관,3946,2025-01-07 17:53,"경기도 평택시 추담로 84, 3층 (이충동)",주야간보호,031-611-8800,,
2018-07-13,재가장기요양기관,3947,2025-01-07 17:53,"경기도 평택시 비전2로 192, 2.5.6층 (비전동)",주야간보호,031-656-5085,,
2018-12-17,재가장기요양기관,3948,2025-01-07 17:53,"경기도 평택시 이충로 49-25 (이충동, 하이존빌딩 5층)","방문요양,방문목욕,주야간보호",031-666-6009,,
2011-05-01,재가장기요양기관,3949,2025-01-07 17:53,"경기도 평택시 중앙로 29, 4층 (통복동, 스마일빌딩)","방문요양,방문목욕,주야간보호",031-657-7650,,
2013-05-02,재가장기요양기관,3950,2025-01-07 17:53,"경기도 평택시 이충로 49-33, 5층 (이충동)","방문요양,방문목욕,주야간보호",031-666-6630,,
2009-11-13,재가장기요양기관,3951,2025-01-07 17:53,경기도 평택시 청원로 1353 (이충동),"방문요양,방문목욕,주야간보호",031-664-8861,,
2009-04-10,재가장기요양기관,3952,2025-01-07 17:53,경기도 평택시 이충로13번길 110 (이충동),"방문요양,방문목욕,주야간보호",031-668-4152,,
2018-03-12,재가장기요양기관,3953,2025-01-07 17:53,"경기도 평택시 청북읍 안청로1길 75, 104동 201호 (유승한내들)","방문요양,주야간보호",031-616-6122,,
2017-01-04,재가장기요양기관,3954,2025-01-07 17:53,경기도 평택시 서탄면 금암3길 26,"방문요양,방문목욕,주야간보호",031-611-1134,,
2016-05-23,재가장기요양기관,3955,2025-01-07 17:53,경기도 평택시 조개터로6번길 41-2 (합정동),방문요양,070-4078-2021,,
2015-10-05,재가장기요양기관,3956,2025-01-07 17:53,경기도 평택시 안중읍 서해로 1141-21,방문요양,031-681-8600,36.9737053,126.9330409
2019-02-20,재가장기요양기관,3957,2025-01-07 17:53,"경기도 평택시 포승읍 여술로43번길 18, 120호",방문요양,031-686-5502,,
2012-03-12,재가장기요양기관,3958,2025-01-07 17:53,경기도 평택시 탄현로 274 (지산동),방문요양,031-665-1434,,
2015-09-21,재가장기요양기관,3959,2025-01-07 17:53,경기도 평택시 오좌동길 9 (독곡동),방문요양,031-662-6788,,
2009-12-03,재가장기요양기관,3960,2025-01-07 17:53,경기도 평택시 안중읍 용성길 155,방문요양,031-682-0119,37.0076801,126.952924
2010-03-03,재가장기요양기관,3961,2025-01-07 17:53,"경기도 평택시 소사2길 9, 103동 103호 (소사동,평택소사에스케이뷰(아))",방문요양,031-656-6626,,
2019-09-16,재가장기요양기관,3962,2025-01-07 17:53,경기도 평택시 오성면 신3리길 47,방문요양,031-686-9526,,
2008-09-22,재가장기요양기관,3963,2025-01-07 17:53,경기도 평택시 안중읍 안중로 69,"방문요양,방문목욕",031-686-6884,36.9879223,126.9245761
2018-06-22,재가장기요양기관,3964,2025-01-07 17:53,"경기도 평택시 포승읍 서동대로 1155, 1층 4호","방문요양,방문목욕",031-681-4909,,
2009-09-23,재가장기요양기관,3965,2025-01-07 17:53,"경기도 평택시 팽성읍 안정쇼핑로 84-5, 101호","방문요양,방문목욕",031-618-1585,,
2015-11-25,재가장기요양기관,3966,2025-01-07 17:53,"경기도 평택시 평남로 281 (통복동, 삼성@ 상가 204호)","방문요양,방문목욕",031-656-2145,,
2015-12-10,재가장기요양기관,3967,2025-01-07 17:53,"경기도 평택시 정암로54번길 74, 1동 105호 (이충동)","방문요양,방문목욕",031-664-2615,,
2017-07-27,재가장기요양기관,3968,2025-01-07 17:53,"경기도 평택시 참이슬길 13 (합정동, 참이슬아파트상가동 201호)","방문요양,방문목욕",031-657-7712,,
2018-06-11,재가장기요양기관,3969,2025-01-07 17:53,"경기도 평택시 송탄공원로 146, 상가동 411호 (지산동)","방문요양,방문목욕",031-665-2366,,
2019-11-18,재가장기요양기관,3970,2025-01-07 17:53,경기도 평택시 원평로52번길 49-3 (평택동),"방문요양,방문목욕",031-686-5830,,
2019-11-28,재가장기요양기관,3971,2025-01-07 17:53,"경기도 평택시 안중읍 안현로서7길 4, 2층 202호","방문요양,방문목욕",031-686-5646,,
2019-04-02,재가장기요양기관,3972,2025-01-07 17:53,"경기도 평택시 송일로25번길 31, 103호 (서정동)","방문요양,방문목욕",031-665-0804,,
2018-10-01,재가장기요양기관,3973,2025-01-07 17:53,경기도 평택시 비전동 887번지 문화아파트  상가동 202호,"방문요양,방문목욕",031-657-0545,,
2018-08-23,재가장기요양기관,3974,2025-01-07 17:53,"경기도 평택시 평택5로 191, 5층 (비전동, 준빌딩)","방문요양,방문목욕",031-658-9941,,
2016-08-01,재가장기요양기관,3975,2025-01-07 17:53,"경기도 평택시 탄현로 57, 2층 (서정동)","방문요양,방문목욕",031-668-6390,,
2016-05-30,재가장기요양기관,3976,2025-01-07 17:53,"경기도 평택시 팽성읍 동서촌로 119, 1층","방문요양,방문목욕",031-653-8909,,
2018-11-22,재가장기요양기관,3977,2025-01-07 17:53,경기도 평택시 세교상가4길 5 (세교동),"방문요양,방문목욕",031-618-1185,,
2019-11-25,재가장기요양기관,3978,2025-01-07 17:53,"경기도 평택시 조개터로42번길 52, 1층 (합정동)","방문요양,방문목욕",031-652-7785,,
2019-02-11,재가장기요양기관,3979,2025-01-07 17:53,"경기도 평택시 평택1로 109 (통복동, 신명보람아파트 상가 제4호)","방문요양,방문목욕",031-652-6691,,
2012-03-08,재가장기요양기관,3980,2025-01-07 17:53,경기도 평택시 평택로 94-1 (통복동),"방문요양,방문목욕",070-7113-1743,,
2019-12-27,재가장기요양기관,3981,2025-01-07 17:53,경기도 평택시 안중읍 송담리 101호,"방문요양,방문목욕",031-686-8990,,
2019-11-12,재가장기요양기관,3982,2025-01-07 17:53,"경기도 평택시 탄현로 349, 2층 (지산동)","방문요양,방문목욕",031-667-4029,,
2016-07-27,재가장기요양기관,3983,2025-01-07 17:53,경기도 평택시 이충동 487번지 14호,"방문요양,방문목욕",031-666-1269,,
2013-05-20,재가장기요양기관,3984,2025-01-07 17:53,경기도 평택시 안중읍 안중로100번길 13,"방문요양,방문목욕",031-686-9965,,
2019-08-12,재가장기요양기관,3985,2025-01-07 17:53,"경기도 평택시 무지개공원2길 27, 1층, 지층 (비전동)","방문요양,방문목욕",031-658-1218,,
2018-08-01,재가장기요양기관,3986,2025-01-07 17:53,경기도 평택시 중앙로 233 (비전동),"방문요양,방문목욕",031-692-9933,,
2015-03-01,재가장기요양기관,3987,2025-01-07 17:53,"경기도 평택시 자유로3번길 46, 3층 (평택동)","방문요양,방문목욕",031-651-0345,,
2015-10-01,재가장기요양기관,3988,2025-01-07 17:53,"경기도 평택시 팽성읍 안정순환로 240, 1층 104호","방문요양,방문목욕",031-652-6652,,
2017-02-07,재가장기요양기관,3989,2025-01-07 17:53,"경기도 평택시 안중읍 안중로117번길 17-8, 제1동 제3층 301호 (골든쉐르빌)","방문요양,방문목욕",031-681-8292,,
2017-05-01,재가장기요양기관,3990,2025-01-07 17:53,경기도 평택시 서탄면 마두2길 114,"방문요양,방문목욕",031-611-6500,,
2008-08-13,재가장기요양기관,3991,2025-01-07 17:53,"경기도 평택시 평택5로 254 (비전동,한성상가 2층 201호)","방문요양,방문목욕",031-653-1377,,
2009-09-03,재가장기요양기관,3992,2025-01-07 17:53,"경기도 평택시 지장로47번길 4, 302호 (서정동)","방문요양,방문목욕",031-667-9998,,
2019-02-11,재가장기요양기관,3993,2025-01-07 17:53,경기도 평택시 팽성읍 안정순환로80번길 49,"방문요양,방문목욕",070-8888-9974,,
2019-06-24,재가장기요양기관,3994,2025-01-07 17:53,"경기도 평택시 조개터로5번길 35, 1층 (합정동)","방문요양,방문목욕",031-658-9006,,
2015-06-10,재가장기요양기관,3995,2025-01-07 17:53,"경기도 평택시 송탄로 89, 304호 (장당동)","방문요양,방문목욕",031-611-0736,,
2016-12-19,재가장기요양기관,3996,2025-01-07 17:53,"경기도 평택시 탄현로 289, 4층 (신장동)","방문요양,방문목욕",031-663-8535,,
2017-12-18,재가장기요양기관,3997,2025-01-07 17:53,"경기도 평택시 송탄공원로 135, 상가동 204호 (지산동)","방문요양,방문목욕",031-666-8996,,
2011-06-10,재가장기요양기관,3998,2025-01-07 17:53,"경기도 평택시 통미로 58, 1층 (합정동)","방문요양,방문목욕",031-618-4788,,
2011-06-10,재가장기요양기관,3999,2025-01-07 17:53,"경기도 평택시 밀월로15번길 34, 1층 (신장동)","방문요양,방문목욕",031-668-1221,,
2013-06-28,재가장기요양기관,4000,2025-01-07 17:53,"경기도 평택시 특구로9번길 17, 2층 (서정동)","방문요양,방문목욕",031-666-0004,,
2013-12-03,재가장기요양기관,4001,2025-01-07 17:53,"경기도 평택시 중앙로 176, 상가2동 2층 (합정동, 평택합정 SK VIEW 주상복합1)","방문요양,방문목욕",031-651-0022,,
2008-06-19,재가장기요양기관,4002,2025-01-07 17:53,"경기도 평택시 점촌로 33 (서정동,2층)","방문요양,방문목욕",031-667-6922,,
2019-07-31,재가장기요양기관,4003,2025-01-07 17:53,"경기도 평택시 송탄공원로 12, 1층 (신장동)","방문요양,방문목욕",031-666-1530,,
2014-07-25,재가장기요양기관,4004,2025-01-07 17:53,"경기도 평택시 송탄로 421, 2층 (지산동, 다나재가복지센터)","방문요양,방문목욕",031-667-5282,,
2018-12-20,재가장기요양기관,4005,2025-01-07 17:53,"경기도 평택시 평택로32번길 5-3, 3층 (평택동)","방문요양,방문목욕",031-618-9784,,
2015-06-03,재가장기요양기관,4006,2025-01-07 17:53,경기도 평택시 통복시장2로 65 (비전동),"방문요양,방문목욕",031-656-5040,,
2015-04-27,재가장기요양기관,4007,2025-01-07 17:53,경기도 평택시 복창로34번길 12 (서정동),"방문요양,방문목욕",031-668-2990,,
2019-12-23,재가장기요양기관,4008,2025-01-07 17:53,경기도 평택시 평택1로 70 (비전동),"방문요양,방문목욕",031-655-1552,,
2008-05-30,재가장기요양기관,4009,2025-01-07 17:53,"경기도 평택시 평택3로 44, 2층 (합정동)","방문요양,방문목욕",031-651-1365,,
2018-10-15,재가장기요양기관,4010,2025-01-07 17:53,"경기도 평택시 고덕면 청원로 688, 1층","방문요양,방문목욕",031-665-2002,,
2016-04-11,재가장기요양기관,4011,2025-01-07 17:53,"경기도 평택시 통복시장1로30번길 10, 1층 102호 (통복동)","방문요양,방문목욕",031-618-9968,,
2017-03-08,재가장기요양기관,4012,2025-01-07 17:53,"경기도 평택시 장당길 43-4, 3층 306호 (장당동, 아트프라자)","방문요양,방문목욕",031-611-7338,,
2015-09-01,재가장기요양기관,4013,2025-01-07 17:53,경기도 평택시 안중읍 안중6길 7-17,"방문요양,방문목욕",031-618-1115,36.9887302,126.9418059
2016-06-10,재가장기요양기관,4014,2025-01-07 17:53,"경기도 평택시 중앙로 136 (합정동, 지층)","방문요양,방문목욕",031-657-4797,,
2015-07-07,재가장기요양기관,4015,2025-01-07 17:53,"경기도 평택시 청북읍 고잔6길 119-59, 나동 1층","방문요양,방문목욕",031-683-3479,,
2015-06-12,재가장기요양기관,4016,2025-01-07 17:53,"경기도 평택시 서재6길 2-37, 1동 101호 (동삭동, 파크뷰)","방문요양,방문목욕",031-656-5085,,
2017-01-05,재가장기요양기관,4017,2025-01-07 17:53,경기도 평택시 조개터로37번길 50 (합정동),"방문요양,방문목욕",031-657-1881,,
2009-03-24,재가장기요양기관,4018,2025-01-07 17:53,"경기도 평택시 평택5로 272-1, 3층 (비전동)","방문요양,방문목욕",031-651-0232,,
2010-03-09,재가장기요양기관,4019,2025-01-07 17:53,"경기도 평택시 포승읍 포승남로 520, 101동 501호 (반도보라빌(아))","방문요양,방문목욕",070-4116-1123,,
2010-01-07,재가장기요양기관,4020,2025-01-07 17:53,경기도 평택시 팽성읍 본정리 99-7,"방문요양,방문목욕",031-655-4592,,
2009-09-09,재가장기요양기관,4021,2025-01-07 17:53,"경기도 평택시 안중읍 안중로 131, 2층","방문요양,방문목욕,복지용구제공사업소",031-682-1133,,
2015-01-16,재가장기요양기관,4022,2025-01-07 17:53,경기도 평택시 통복시장2로 65 (비전동),복지용구제공사업소,031-618-3564,,
2009-05-19,재가장기요양기관,4023,2025-01-07 17:53,"경기도 평택시 안중읍 안중로 132, 1층 102호",복지용구제공사업소,031-681-2872,,
2010-12-29,재가장기요양기관,4024,2025-01-07 17:53,"경기도 평택시 평택3로 44, 2층 (합정동)",복지용구제공사업소,031-653-1365,,
2019-11-25,재가장기요양기관,4025,2025-01-07 17:53,"경기도 평택시 통미로 58, 1층 (합정동)",복지용구제공사업소,031-618-4788,,
2014-01-24,재가장기요양기관,4026,2025-01-07 17:53,"경기도 평택시 평택로32번길 5-3, 3층 (평택동)",복지용구제공사업소,031-652-9784,,
2018-03-02,재가장기요양기관,4027,2025-01-07 17:53,"경기도 평택시 팽성읍 안정로 73, 1호",복지용구제공사업소,031-656-3014,,
2013-04-10,재가장기요양기관,4028,2025-01-07 17:53,"경기도 평택시 중앙로 335 (비전동, (비전동, 벽산아파트) 상가동 105호/201호,202호))",복지용구제공사업소,031-658-3678,,
2018-06-01,재가장기요양기관,4029,2025-01-07 17:53,"경기도 평택시 평택로 286, 1층 103호 (세교동)",복지용구제공사업소,031-653-4810,,
2008-10-01,재가장기요양기관,4030,2025-01-07 17:53,경기도 평택시 탄현로 312 (지산동),복지용구제공사업소,031-668-2622,,
2008-05-26,재가장기요양기관,4031,2025-01-07 17:53,"경기도 평택시 중앙로 8 (통복동,1,3층)",복지용구제공사업소,031-651-0309,,
2009-06-05,재가장기요양기관,4032,2025-01-07 17:53,경기도 평택시 평택로 94-1 (통복동),복지용구제공사업소,031-691-1288,,
2016-07-27,재가장기요양기관,4033,2025-01-07 17:53,경기도 평택시 현신7길 19 (용이동),복지용구제공사업소,031-692-2682,,
2014-07-01,재가장기요양기관,4034,2025-01-07 17:53,경기도 평택시 지산로 61 (지산동),복지용구제공사업소,031-666-3353,,
2016-04-25,재가장기요양기관,4035,2025-01-07 17:53,"경기도 평택시 송탄공원로 146, 4층 405~407호 (지산동, 상가동)",복지용구제공사업소,031-665-7713,,
2013-05-30,재가장기요양기관,4036,2025-01-07 17:53,경기도 평택시 서탄면 서탄로 154 ((주)솔고 바이오메디칼 나동),복지용구제공사업소,031-610-4023,,
2016-09-21,재가노인복지시설,4037,2025-01-07 17:53,경기도 평택시 평택2로 118 (비전동),주야간보호,031-657-6259,,
2024-06-01,재가노인복지시설,4038,2025-01-07 17:53,"경기도 평택시 비전2로 194, 4층 (비전동)",주야간보호,031-654-5554,,
2013-04-19,재가노인복지시설,4039,2025-01-07 17:53,"경기도 평택시 평택5로96번길 36, 6층 (비전동)",주야간보호,031-656-3933,,
2022-06-02,재가노인복지시설,4040,2025-01-07 17:53,"경기도 평택시 중앙1로 84, 2층 (비전동)",주야간보호,031-654-3521,,
2008-05-14,재가노인복지시설,4041,2025-01-07 17:53,경기도 평택시 조개터로48번길 14 (합정동),주야간보호,031-656-7026,,
2024-07-01,재가노인복지시설,4042,2025-01-07 17:53,"경기도 평택시 비전5로 19, 5층 (비전동)",주야간보호,031-657-9991,,
2022-03-29,재가노인복지시설,4043,2025-01-07 17:53,"경기도 평택시 통복시장로47번길 2, 1층 (통복동)",주야간보호,031-656-0122,,
2022-04-08,재가노인복지시설,4045,2025-01-07 17:53,경기도 평택시 목천로 72-19 (신장동),주야간보호,031-667-5001,,
2009-05-20,재가노인복지시설,4046,2025-01-07 17:53,경기도 평택시 팽성읍 팽성남산4길 6,주야간보호,031-650-2640,,
2022-12-01,재가노인복지시설,4047,2025-01-07 17:53,"경기도 평택시 중앙1로 84, 202호 (비전동, 리치빌딩)",주야간보호,031-618-3262,,
2023-04-26,재가노인복지시설,4048,2025-01-07 17:53,"경기도 평택시 칠괴길 112, 3,4층 (칠괴동)",주야간보호,031-665-2082,,
2024-02-01,재가노인복지시설,4049,2025-01-07 17:53,"경기도 평택시 평택로 23, 3층 301호 (평택동)",주야간보호,031-647-3006,,
2016-11-08,재가노인복지시설,4050,2025-01-07 17:53,경기도 평택시 안중읍 용성길 155,주야간보호,031-682-0119,37.0076801,126.952924
2020-02-04,재가노인복지시설,4051,2025-01-07 17:53,"경기도 평택시 중앙1로 84, 4층 (비전동, 리치빌딩)",주야간보호,031-651-5909,,
2022-08-05,재가노인복지시설,4052,2025-01-07 17:53,"경기도 평택시 탄현1로 160, 7층 (신장동)",주야간보호,031-663-3962,,
2023-02-01,재가노인복지시설,4053,2025-01-07 17:53,경기도 평택시 방여울로 91 (가재동),주야간보호,031-663-2103,,
2014-11-04,재가노인복지시설,4054,2025-01-07 17:53,경기도 평택시 탄현로 399-9 (신장동),주야간보호,031-663-8200,,
2024-06-01,재가노인복지시설,4055,2025-01-07 17:53,"경기도 평택시 추담로 84, 3층 (이충동)",주야간보호,031-611-8800,,
2008-05-28,재가노인복지시설,4056,2025-01-07 17:53,경기도 평택시 평택5로 220 (비전동),주야간보호,031-8036-4940,,
2020-06-03,재가노인복지시설,4057,2025-01-07 17:53,"경기도 평택시 안중읍 송담3로 48, 2층",주야간보호,031-681-2541,,
2008-05-26,재가노인복지시설,4058,2025-01-07 17:53,"경기도 평택시 안중읍 서동대로 1557, 1층 (서부복지타운)",주야간보호,031-660-7440,,
2017-09-14,재가노인복지시설,4059,2025-01-07 17:53,경기도 평택시 안중읍 서해로 1141-21,주야간보호,031-681-8600,36.9737053,126.9330409
2012-07-02,재가노인복지시설,4060,2025-01-07 17:53,경기도 평택시 서정로 295 (서정동),주야간보호,031-615-3933,,
2008-06-27,재가노인복지시설,4061,2025-01-07 17:53,경기도 평택시 청북읍 건의길 4-13,주야간보호,031-683-3677,,
2021-10-01,재가노인복지시설,4062,2025-01-07 17:53,경기도 평택시 안중읍 행궁길 21,"주야간보호,단기보호",031-684-1006,36.9765359,126.9164568
2019-05-31,재가노인복지시설,4063,2025-01-07 17:53,"경기도 평택시 청북읍 고잔6길 119-59, 나동","방문요양,주야간보호",031-686-8708,,
2014-11-24,재가노인복지시설,4064,2025-01-07 17:53,경기도 평택시 비전6길 8 (비전동),"방문요양,주야간보호",031-655-1915,,
2021-12-01,재가노인복지시설,4065,2025-01-07 17:53,"경기도 평택시 안중읍 안현로 277, A동 3층","방문요양,주야간보호",031-684-2001,,
2015-08-13,재가노인복지시설,4066,2025-01-07 17:53,경기도 평택시 오좌동길 9 (독곡동),"방문요양,주야간보호",031-662-6788,,
2019-10-18,재가노인복지시설,4067,2025-01-07 17:53,경기도 평택시 안중읍 안중로 103,"방문요양,주야간보호",031-682-2100,36.9888245,126.9278606
2011-11-01,재가노인복지시설,4068,2025-01-07 17:53,경기도 평택시 고덕면 방축4길 58,"방문요양,방문목욕,주야간보호",070-8611-3443,,
2022-04-25,재가노인복지시설,4069,2025-01-07 17:53,"경기도 평택시 경기대로 1286, 5층 (이충동)","방문요양,방문목욕,주야간보호",031-647-3310,,
2008-06-20,재가노인복지시설,4070,2025-01-07 17:53,경기도 평택시 지산천로 74 (독곡동),"방문요양,방문목욕,주야간보호",031-662-3082,,
